chembl_id,smiles,pchembl_value,pchembl_std,n_records
CHEMBL3880,CC(C)NC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1C#CCN1CCOCC1,6.97,0.0,1
CHEMBL3880,CC(C)NC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1C#Cc1ccccc1,7.35,0.0,1
CHEMBL3880,CC(C)NCCCn1c(Sc2cc(Cl)cc(Cl)c2)nc2c(N)ncnc21,4.56,0.0,1
CHEMBL3880,CC(C)NCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)nccc21,5.76,0.7071067811865476,2
CHEMBL3880,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.904999999999999,0.912167747730646,2
CHEMBL3880,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,7.15,0.18748333259252653,5
CHEMBL3880,CC(C)NCCCn1c(Sc2cc3c(cc2N(C)C)OCO3)nc2c(N)ncnc21,7.0,0.0,1
CHEMBL3880,CC(C)NCCCn1c(Sc2ccc(Cl)cc2Cl)nc2c(N)ncnc21,4.69,0.0,1
CHEMBL3880,CC(C)NCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)Nc1cc(-c2cc(C(F)(F)F)nc3c(-n4cnc(-c5cnn(C)c5)c4)cccc23)ccc1C(N)=O,6.77,0.0,1
CHEMBL3880,CC(C)Nc1cc(-c2nccc3c(-n4cnc(-c5cnn(C)c5)c4)cccc23)ccc1C(N)=O,6.72,0.0,1
CHEMBL3880,CC(C)Nc1cc(-n2nc(C(C)C)c3c(-n4cnc(-c5cccnc5)c4)ccnc32)ccc1C(N)=O,6.12,0.0,1
CHEMBL3880,CC(C)Nc1cc(-n2nc(C(C)C)c3c(-n4cnc(-c5cn[nH]c5)c4)ccnc32)ccc1C(N)=O,6.77,0.0,1
CHEMBL3880,CC(C)Nc1cc(-n2nc(C(C)C)c3c(-n4cnc(-c5cnn(C)c5)c4)ccnc32)ccc1C(N)=O,6.72,0.0,1
CHEMBL3880,CC(C)Nc1cc(-n2nc(C(F)(F)F)c3c(-n4cnc(-c5cccnc5)c4)ccnc32)ccc1C(N)=O,6.42,0.0,1
CHEMBL3880,CC(C)Nc1cc(-n2nc(C(F)(F)F)c3c(-n4cnc(-c5cnn(C)c5)c4)ccnc32)ccc1C(N)=O,6.8,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cccnc4)c3)cccc21,6.6,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)cccc21,6.92,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21,6.7,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(F)(F)F)c2c(-n3cnc(-c4cccnc4)c3)cccc21,6.85,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(F)(F)F)c2c(-n3cnc(-c4cccnc4)c3)ccnc21,6.85,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(F)(F)F)c2c(-n3cnc(-c4cnn(C)c4)c3)cccc21,6.85,0.0,1
CHEMBL3880,CC(C)Nc1cc(C(N)=O)ccc1-n1nc(C(F)(F)F)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21,6.96,0.0,1
CHEMBL3880,CC(C)Nc1ncc2c(n1)CCN(C(=O)c1cc(C(C)C)c(O)cc1O)C2,6.65,0.0,1
CHEMBL3880,CC(C)OCCNc1cc(-c2cc(C(F)(F)F)nc3c(-c4cnc5ccccc5c4)cccc23)ccc1C(N)=O,6.08,0.0,1
CHEMBL3880,CC(C)OCCNc1cc(-c2cc(C(F)(F)F)nc3c(-n4cnc(-c5ccccc5)c4)cccc23)ccc1C(N)=O,5.36,0.0,1
CHEMBL3880,CC(C)OCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)OCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)Oc1ncc2c(n1)CCN(C(=O)c1cc(C(C)C)c(O)cc1O)C2,7.19,0.0,1
CHEMBL3880,CC(C)Sc1nc(SCC(=O)NCc2ccco2)c2c3c(sc2n1)COC(C)(C)C3,5.08,0.0,1
CHEMBL3880,CC(C)c1cc(-c2ccc(C(N)=O)c(N)c2)c2cccc(-c3cnc4ccccc4c3)c2n1,6.75,0.0,1
CHEMBL3880,CC(C)c1cc(-c2ccc(C(N)=O)c(N)c2)c2cccc(-n3cnc(-c4ccc[n+]([O-])c4)c3)c2n1,7.05,0.0,1
